(46.113963,88.375489)    (49.736952,95.530626)    8.020102
(46.113963,88.375489)    (36.893766,85.305203)    9.717958
(46.113963,88.375489)    (38.417984,96.378306)    11.102846
(46.113963,88.375489)    (56.264441,82.093810)    11.936988
(98.621579,79.441085)    (97.362886,75.543661)    4.095634
(98.621579,79.441085)    (95.427315,84.403448)    5.901556
(98.621579,79.441085)    (87.330470,75.862111)    11.844754
(98.621579,79.441085)    (96.223698,66.779540)    12.886603
(56.264441,82.093810)    (70.580017,81.479173)    14.328765
(56.264441,82.093810)    (49.736952,95.530626)    14.938411
(56.264441,82.093810)    (71.804409,84.752133)    15.765699
(57.718179,13.808366)    (47.272053,22.834207)    13.805338
(57.718179,13.808366)    (58.980854,12.232540)    2.019301
(57.718179,13.808366)    (61.539646,14.330158)    3.856926
(57.718179,13.808366)    (57.422467,2.515935)    11.296302
(9.514891,42.336025)    (5.158319,41.267399)    4.485719
(9.514891,42.336025)    (19.585696,44.244208)    10.249989
(9.514891,42.336025)    (3.772830,53.577986)    12.623508
(9.514891,42.336025)    (8.636011,39.802784)    2.681369
(36.188536,37.396023)    (31.346828,39.954102)    5.475938
(36.188536,37.396023)    (41.358299,43.271412)    7.826023
(36.188536,37.396023)    (27.533787,42.324529)    9.959661
(36.188536,37.396023)    (25.563680,45.393175)    13.298195
(73.927218,27.900770)    (81.798282,38.835260)    13.472814
(73.927218,27.900770)    (89.944212,30.379978)    16.207732
(73.927218,27.900770)    (75.316349,37.116189)    9.319530
(73.927218,27.900770)    (64.335367,30.178421)    9.858564
(19.470914,81.404860)    (28.272908,82.517486)    8.872037
(19.470914,81.404860)    (16.784747,84.946553)    4.445118
(19.470914,81.404860)    (14.887699,81.059493)    4.596208
(19.470914,81.404860)    (26.264910,80.007645)    6.936180
(10.819728,63.660737)    (12.202028,54.893697)    8.875345
(10.819728,63.660737)    (18.468176,58.408777)    9.278030
(10.819728,63.660737)    (13.601858,73.027639)    9.771341
(10.819728,63.660737)    (21.179357,58.008439)    11.801288
(27.533787,42.324529)    (25.563680,45.393175)    3.646630
(27.533787,42.324529)    (31.346828,39.954102)    4.489789
(27.533787,42.324529)    (19.585696,44.244208)    8.176632
(27.533787,42.324529)    (32.441041,50.417449)    9.464486
(60.185725,59.250079)    (59.010406,54.627725)    4.769437
(60.185725,59.250079)    (61.186322,64.662737)    5.504367
(60.185725,59.250079)    (55.516058,53.900344)    7.101088
(60.185725,59.250079)    (56.209109,50.967171)    9.188038
(12.279079,99.150935)    (18.707732,91.704705)    9.837374
(12.279079,99.150935)    (13.075276,88.959905)    10.222086
(12.279079,99.150935)    (0.364069,94.531152)    12.779275
(12.279079,99.150935)    (16.784747,84.946553)    14.901863
(38.417984,96.378306)    (36.206361,96.746029)    2.241986
(38.417984,96.378306)    (29.167279,93.339398)    9.737070
(38.417984,96.378306)    (36.893766,85.305203)    11.177516
(30.040736,67.325472)    (25.694978,63.986010)    5.480659
(30.040736,67.325472)    (26.264910,80.007645)    13.232323
(30.040736,67.325472)    (28.272908,82.517486)    15.294525
(30.040736,67.325472)    (42.912074,56.725885)    16.674009
(5.158319,41.267399)    (8.636011,39.802784)    3.773518
(5.158319,41.267399)    (3.635932,29.087801)    12.274375
(5.158319,41.267399)    (3.772830,53.577986)    12.388306
(75.316349,37.116189)    (81.798282,38.835260)    6.706016
(75.316349,37.116189)    (64.335367,30.178421)    12.989018
(75.316349,37.116189)    (89.944212,30.379978)    16.104376
(36.893766,85.305203)    (30.650923,87.787538)    6.718264
(36.893766,85.305203)    (28.272908,82.517486)    9.060384
(36.893766,85.305203)    (47.023074,82.238869)    10.583255
(40.360235,54.257691)    (32.441041,50.417449)    8.801199
(40.360235,54.257691)    (47.494533,48.322820)    9.280135
(40.360235,54.257691)    (41.358299,43.271412)    11.031521
(40.360235,54.257691)    (28.627952,55.215357)    11.771304
(13.075276,88.959905)    (16.784747,84.946553)    5.465086
(13.075276,88.959905)    (18.707732,91.704705)    6.265660
(13.075276,88.959905)    (8.000564,83.499015)    7.454798
(13.075276,88.959905)    (14.887699,81.059493)    8.105639
(21.179357,58.008439)    (18.468176,58.408777)    2.740579
(21.179357,58.008439)    (26.339098,56.730227)    5.315708
(21.179357,58.008439)    (21.924445,51.551263)    6.500021
(21.179357,58.008439)    (28.627952,55.215357)    7.955054
(49.736952,95.530626)    (38.417984,96.378306)    11.350665
(49.736952,95.530626)    (36.206361,96.746029)    13.585069
(87.330470,75.862111)    (97.362886,75.543661)    10.037469
(87.330470,75.862111)    (75.927898,73.432004)    11.658648
(87.330470,75.862111)    (95.427315,84.403448)    11.769170
(87.330470,75.862111)    (85.631047,70.811545)    5.328813
(35.302883,4.498685)    (29.445953,17.472388)    14.234485
(35.302883,4.498685)    (47.272053,22.834207)    21.896402
(35.302883,4.498685)    (30.929501,1.807915)    5.134853
(35.302883,4.498685)    (43.869426,9.903197)    10.128889
(74.904411,95.067133)    (87.330470,75.862111)    22.874436
(74.904411,95.067133)    (73.762315,91.263369)    3.971524
(74.904411,95.067133)    (85.610176,92.476004)    11.014869
(74.904411,95.067133)    (75.927898,73.432004)    21.659325
(28.272908,82.517486)    (30.650923,87.787538)    5.781731
(28.272908,82.517486)    (26.264910,80.007645)    3.214243
(25.694978,63.986010)    (13.601858,73.027639)    15.099491
(25.694978,63.986010)    (26.264910,80.007645)    16.031769
(25.694978,63.986010)    (19.470914,81.404860)    18.497441
(89.944212,30.379978)    (81.798282,38.835260)    11.740867
(89.944212,30.379978)    (97.195845,44.765837)    16.110217
(29.445953,17.472388)    (30.929501,1.807915)    15.734568
(29.445953,17.472388)    (43.869426,9.903197)    16.288929
(29.445953,17.472388)    (47.272053,22.834207)    18.615020
(46.707278,69.351909)    (58.235017,74.619695)    12.674318
(46.707278,69.351909)    (47.023074,82.238869)    12.890829
(46.707278,69.351909)    (42.912074,56.725885)    13.184084
(46.707278,69.351909)    (49.891742,55.694765)    14.023495
(16.968521,25.195194)    (12.882187,31.033030)    7.125900
(16.968521,25.195194)    (20.881824,32.332065)    8.139341
